HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
1166239,1164930.1301269531,-9.442259597778321,-2.8200656890869142,0.1559271097183228,-0.055424198508262634,0.02797855995595455,0.009059724397957325,-2.919495887756348,4.386486167907715,-17.10078140258789,35.099998474121094,101595.0,11.448567390441895,160.27899169921875,0.0,0.0,0.0,0.0
1166318,1164946.3156738281,-9.350082206726075,-2.8140801906585695,0.17627780437469487,-0.05249311029911041,0.026912709698081017,0.006128636654466391,-2.8694976043701175,4.47814905166626,-17.40076919555664,35.099998474121094,101595.0,9.622977256774902,159.83688354492188,0.0,0.0,0.0,0.0
1166358,1164959.3273925781,-9.419514465332032,-2.826051187515259,0.17867200374603276,-0.0543583482503891,0.027445634827017784,0.009059724397957325,-2.744503326416016,4.086497898101807,-16.43414016723633,35.099998474121094,101595.0,11.863862991333008,161.2543487548828,0.0,0.0,0.0,0.0
1166478,1165087.4924316406,-9.46859531402588,-2.8188685894012453,0.13677351474761967,-0.05222664400935173,0.028777947649359703,0.01012557465583086,-2.5111792755126956,5.603104228973389,-17.384102783203126,35.099998474121094,101595.0,12.029985427856445,154.81396484375,0.0,0.0,0.0,0.0
1166678,1165322.7438964844,-9.441061782836915,-2.806897592544556,0.15712420940399174,-0.05196018144488335,0.028245022520422935,0.011724349111318588,-2.7195037078857425,4.561479206085205,-15.067528686523438,35.099998474121094,101595.0,12.19560718536377,159.27536010742188,0.0,0.0,0.0,0.0
1166718,1165337.8603515625,-9.522464561462403,-2.827248287200928,0.19782565832138066,-0.05062786862254143,0.026912709698081017,0.009059724397957325,-2.744503326416016,4.644808883666992,-15.475846252441407,35.099998474121094,101595.0,11.531625747680664,158.97793579101562,0.0,0.0,0.0,0.0
1166838,1165485.6484375,-9.390784072875977,-2.7901381969451906,0.29359369277954106,-0.052759572863578796,0.02931087277829647,0.009859112091362476,-3.1194880676269534,4.128162975311279,-15.717503509521485,35.099998474121094,101595.0,11.531625747680664,161.5986328125,0.0,0.0,0.0,0.0
1166878,1165512.7033691406,-9.368038940429688,-2.782955360412598,0.2038111567497254,-0.05302603542804718,0.02717917412519455,0.012257273308932781,-2.8694976043701175,3.9115048599243165,-16.142485580444337,35.099998474121094,101595.0,12.527865409851074,162.1490936279297,0.0,0.0,0.0,0.0
1167158,1165823.8312988281,-9.333323287963868,-2.8475989818573,0.11881695985794072,-0.0543583482503891,0.027712099254131317,0.01039203628897667,-3.0028260421752933,4.00316822052002,-15.33418556213379,35.099998474121094,101595.0,11.116847038269043,161.9498748779297,0.0,0.0,0.0,0.0
1167198,1165844.3874511719,-9.368038940429688,-2.8128830909729006,0.2097966551780701,-0.0543583482503891,0.02797855995595455,0.009592648595571518,-2.802833862304688,4.586477870941162,-14.209229431152345,35.099998474121094,101595.0,11.365510940551758,159.30157470703125,0.0,0.0,0.0,0.0
1167245,1165848.9226074219,-9.380010414123536,-2.829642486572266,0.21578215360641484,-0.05569066107273102,0.02931087277829647,0.011457886546850204,-2.7861684036254886,4.586477870941162,-15.775834045410157,35.099998474121094,101595.0,11.448567390441895,159.27626037597656,0.0,0.0,0.0,0.0
1167285,1165889.7431640625,-9.417119789123536,-2.8619641780853273,0.11761986017227177,-0.054091885685920715,0.02717917412519455,0.011457886546850204,-2.527844734191895,5.4281111907958985,-12.434300384521485,35.099998474121094,101595.0,11.94692325592041,155.52069091796875,0.0,0.0,0.0,0.0
1167325,1165930.4853515625,-9.456624794006348,-2.8607670783996584,0.1798691034317017,-0.05249311029911041,0.02851148694753647,0.01039203628897667,-2.7861684036254886,4.71147310256958,-15.709170303344727,35.099998474121094,101595.0,11.863862991333008,158.77537536621094,0.0,0.0,0.0,0.0
1167365,1165973.0886230469,-9.50211410522461,-2.827248287200928,0.2014169573783875,-0.05249311029911041,0.026912709698081017,0.01012557465583086,-2.827832527160645,4.686473960876465,-16.350811920166016,35.099998474121094,101595.0,12.11304759979248,158.93946838378906,0.0,0.0,0.0,0.0
1168531,1167211.5190429688,-9.5033109664917,-2.871540975570679,0.16310970783233647,-0.05302603542804718,0.02797855995595455,0.010658498853445053,-2.7861684036254886,4.469815845489502,-16.80079360961914,35.20000076293945,101594.0,13.025769233703613,159.7467498779297,0.0,0.0,0.0,0.0
1168571,1167230.7580566406,-9.457821655273438,-2.8092917919158937,0.2385270476341248,-0.05302603542804718,0.027712099254131317,0.01012557465583086,-2.9611609649658206,4.24482500076294,-15.642506561279298,35.20000076293945,101594.0,11.94692325592041,160.910400390625,0.0,0.0,0.0,0.0
1168611,1167246.1748046875,-9.417119789123536,-2.805700492858887,0.24451254606246953,-0.05249311029911041,0.030110260471701622,0.01039203628897667,-2.586176223754883,4.9531298828125,-15.667504272460938,35.20000076293945,101594.0,12.444799423217773,157.4907684326172,0.0,0.0,0.0,0.0
1168651,1167256.5561523438,-9.414726066589356,-2.8416134834289553,0.19782565832138066,-0.052759572863578796,0.024514546617865562,0.009326186962425709,-2.336185760498047,5.453109855651856,-15.967492065429688,35.20000076293945,101594.0,12.94320297241211,155.07888793945312,0.0,0.0,0.0,0.0
1168691,1167293.0451660156,-9.335717010498048,-2.8092917919158937,0.1714894056320191,-0.0543583482503891,0.028777947649359703,0.01119142398238182,-2.8778308105468753,5.211453075408936,-16.56746955871582,35.20000076293945,101594.0,12.86013412475586,156.9575958251953,0.0,0.0,0.0,0.0
1168731,1167337.1247558594,-9.455426979064942,-2.799714994430542,0.15233581066131596,-0.05222664400935173,0.028245022520422935,0.009859112091362476,-2.744503326416016,4.211493129730225,-12.500964126586915,35.20000076293945,101594.0,12.444799423217773,160.7390594482422,0.0,0.0,0.0,0.0
1168771,1167374.7221679688,-9.427894401550294,-2.8631612777709963,0.2229647517204285,-0.052759572863578796,0.02717917412519455,0.011457886546850204,-2.61117488861084,4.411484832763672,-16.917454681396485,35.20000076293945,101594.0,12.19560718536377,159.72116088867188,0.0,0.0,0.0,0.0
1171511,1170359.0864257812,-9.49972038269043,-2.865555477142334,0.22176765203475957,-0.05489126965403557,0.02797855995595455,0.009859112091362476,-2.3861840438842776,5.6697679710388185,-11.626000366210938,35.20000076293945,101588.0,12.444799423217773,154.328125,0.0,0.0,0.0,0.0
1171711,1170592.8374023438,-9.41113452911377,-2.756619167327881,0.20620535612106328,-0.0543583482503891,0.02797855995595455,0.009059724397957325,-2.7028382492065433,4.428150768280029,-16.050822219848634,35.20000076293945,101588.0,11.94692325592041,159.79122924804688,0.0,0.0,0.0,0.0
1171751,1170599.8220214844,-9.4446533203125,-2.865555477142334,0.19543145895004277,-0.05169371888041496,0.02717917412519455,0.01012557465583086,-2.9028304290771487,4.5198141288757325,-14.850871047973634,35.20000076293945,101588.0,12.86013412475586,159.71888732910156,0.0,0.0,0.0,0.0
1171791,1170624.5769042969,-9.53443603515625,-2.8775264739990236,0.18346040248870854,-0.055424198508262634,0.027445634827017784,0.01012557465583086,-2.761168785095215,4.428150768280029,-13.167605361938477,35.20000076293945,101588.0,11.697742462158203,159.87835693359375,0.0,0.0,0.0,0.0
1171831,1170627.607421875,-9.455426979064942,-2.827248287200928,0.11642276048660283,-0.05222664400935173,0.026912709698081017,0.010924961417913437,-2.49451286315918,4.88646614074707,-17.359103164672852,35.20000076293945,101588.0,12.527865409851074,157.60604858398438,0.0,0.0,0.0,0.0
1171871,1170638.6701660156,-9.44585018157959,-2.7877439975738527,0.26965169906616215,-0.05222664400935173,0.026113322004675865,0.01039203628897667,-2.8778308105468753,4.586477870941162,-16.26748176574707,35.20000076293945,101588.0,13.025769233703613,159.414794921875,0.0,0.0,0.0,0.0
1171911,1170658.3342285156,-9.348885345458985,-2.803306293487549,0.21697925329208378,-0.05355895683169365,0.02851148694753647,0.00799387414008379,-2.9861596298217776,4.786470050811768,-16.392476043701173,35.20000076293945,101588.0,12.610931396484375,158.785888671875,0.0,0.0,0.0,0.0
